Region,Year ,Month,Price
Westwood,2013,5,671900
Bel Air,2013,7,1378400
Boyle Heights,2013,7,242700
Central City,2013,7,246600
Century City,2013,7,805000
Crenshaw,2013,7,343200
Downtown,2013,7,525300
Eagle Rock,2013,7,514000
Echo Park,2013,7,545500
Harbor City,2013,7,257000
Highland Park,2013,7,447200
Hollywood,2013,7,496700
Hyde Park,2013,7,292600
Jefferson Park,2013,7,311500
Koreatown,2013,7,421900
Los Feliz,2013,7,782500
Mid City,2013,7,468300
Mid Wilshire,2013,7,569400
Palms,2013,7,607000
Pico-Union,2013,7,371300
Sawtelle,2013,7,611700
Silver Lake,2013,7,702900
Southeast Los Angeles,2013,7,212900
West Adams,2013,7,334000
Westwood,2013,7,692700
Bel Air,2013,9,1387600
Boyle Heights,2013,9,255200
Central City,2013,9,255600
Century City,2013,9,825300
Crenshaw,2013,9,352600
Downtown,2013,9,538400
Eagle Rock,2013,9,536800
Echo Park,2013,9,555500
Harbor City,2013,9,263500
Highland Park,2013,9,463800
Hollywood,2013,9,511900
Hyde Park,2013,9,300500
Jefferson Park,2013,9,322700
Koreatown,2013,9,434900
Los Feliz,2013,9,793900
Mid City,2013,9,480900
Mid Wilshire,2013,9,579700
Palms,2013,9,628000
Pico-Union,2013,9,383800
Sawtelle,2013,9,626700
Silver Lake,2013,9,709600
Southeast Los Angeles,2013,9,219300
West Adams,2013,9,347800
Westwood,2013,9,710100
Bel Air,2013,11,1419700
Boyle Heights,2013,11,263100
Central City,2013,11,258000
Century City,2013,11,845400
Crenshaw,2013,11,364000
Downtown,2013,11,554800
Eagle Rock,2013,11,543600
Echo Park,2013,11,564400
Harbor City,2013,11,279000
Highland Park,2013,11,472700
Hollywood,2013,11,526400
Hyde Park,2013,11,304100
Jefferson Park,2013,11,329000
Koreatown,2013,11,440400
Los Feliz,2013,11,808400
Mid City,2013,11,493100
Mid Wilshire,2013,11,597300
Palms,2013,11,638400
Pico-Union,2013,11,378900
Sawtelle,2013,11,630000
Silver Lake,2013,11,713700
Southeast Los Angeles,2013,11,228700
West Adams,2013,11,355300
Westwood,2013,11,730000
Bel Air,2014,1,1484800
Boyle Heights,2014,1,270700
Central City,2014,1,259600
Century City,2014,1,855000
Crenshaw,2014,1,368200
Downtown,2014,1,553900
Eagle Rock,2014,1,553800
Echo Park,2014,1,569100
Harbor City,2014,1,306100
Highland Park,2014,1,476400
Hollywood,2014,1,545600
Hyde Park,2014,1,303400
Jefferson Park,2014,1,343100
Koreatown,2014,1,445200
Los Feliz,2014,1,829800
Mid City,2014,1,498300
Mid Wilshire,2014,1,605000
Palms,2014,1,645600
Pico-Union,2014,1,376600
Sawtelle,2014,1,633800
Silver Lake,2014,1,733000
Southeast Los Angeles,2014,1,237700
West Adams,2014,1,362700
Westwood,2014,1,741900
Bel Air,2014,3,1529500
Boyle Heights,2014,3,281000
Central City,2014,3,263400
Century City,2014,3,855200
Crenshaw,2014,3,369600
Downtown,2014,3,553000
Eagle Rock,2014,3,566400
Echo Park,2014,3,554900
Harbor City,2014,3,317000
Highland Park,2014,3,483400
Hollywood,2014,3,559600
Hyde Park,2014,3,306200
Jefferson Park,2014,3,354200
Koreatown,2014,3,453500
Los Feliz,2014,3,843100
Mid City,2014,3,503800
Mid Wilshire,2014,3,604900
Palms,2014,3,642900
Pico-Union,2014,3,375600
Sawtelle,2014,3,633800
Silver Lake,2014,3,731700
Southeast Los Angeles,2014,3,244500
West Adams,2014,3,366900
Westwood,2014,3,750600
Bel Air,2014,5,1617400
Boyle Heights,2014,5,286900
Central City,2014,5,278800
Century City,2014,5,848200
Crenshaw,2014,5,377800
Downtown,2014,5,552200
Eagle Rock,2014,5,565600
Echo Park,2014,5,552900
Harbor City,2014,5,296900
Highland Park,2014,5,485200
Hollywood,2014,5,578000
Hyde Park,2014,5,315300
Jefferson Park,2014,5,368900
Koreatown,2014,5,476200
Los Feliz,2014,5,862700
Mid City,2014,5,516500
Mid Wilshire,2014,5,614300
Palms,2014,5,646200
Pico-Union,2014,5,392700
Sawtelle,2014,5,629900
Silver Lake,2014,5,720000
Southeast Los Angeles,2014,5,254200
West Adams,2014,5,381200
Westwood,2014,5,767500
Bel Air,2014,7,1656100
Boyle Heights,2014,7,295100
Central City,2014,7,282000
Century City,2014,7,839800
Crenshaw,2014,7,382200
Downtown,2014,7,559300
Eagle Rock,2014,7,562300
Echo Park,2014,7,549500
Harbor City,2014,7,290100
Highland Park,2014,7,488900
Hollywood,2014,7,589000
Hyde Park,2014,7,323300
Jefferson Park,2014,7,375800
Koreatown,2014,7,483200
Los Feliz,2014,7,849100
Mid City,2014,7,524000
Mid Wilshire,2014,7,627400
Palms,2014,7,650100
Pico-Union,2014,7,371500
Sawtelle,2014,7,628300
Silver Lake,2014,7,711100
Southeast Los Angeles,2014,7,258600
West Adams,2014,7,399900
Westwood,2014,7,762900
Bel Air,2014,9,1687000
